,date,age,gender,armed,race,city,state,flee,body_camera,signs_of_mental_illness,police_departments_involved,year
4005,2019-01-25,69.0,male,gun,Unknown,North Escambia,FL,not,False,True,"Escambia County Sheriff's Office, FL",2019.0
4006,2019-01-25,48.0,male,gun,White,Garland,TX,not,False,True,"Garland Police Department, TX",2019.0
4007,2019-01-25,60.0,male,gun,White,Dyersburg,TN,not,False,False,"Dyer County Sheriff's Department, TN",2019.0
4008,2019-01-27,25.0,male,vehicle,Native American,Rosebud,SD,car,False,False,"Rosebud Sioux Tribe Law Enforcement Services, SD",2019.0
4009,2019-01-28,45.0,male,knife,White,Tehama County,CA,other,False,False,"Tehama County Sheriff's Department, CA",2019.0
4010,2019-01-28,52.0,male,gun,Unknown,Butte County,CA,car,False,False,"Butte County Sheriff's Department, CA",2019.0
4011,2019-01-28,30.0,male,gun,White,Kirkwood,NY,car,False,False,"New York State Police, NY",2019.0
4012,2019-01-28,27.0,male,unknown,Black,Mercury,NV,car,False,False,"Nye County Sheriff's Office, NV",2019.0
4013,2019-01-28,55.0,male,replica,White,Wichita,KS,not,False,False,"Sedgwick County Sheriff's Office, KS",2019.0
4014,2019-01-28,46.0,male,gun,Black,Newark,NJ,car,True,False,"Newark Police Department, NJ",2019.0
4015,2019-01-28,59.0,male,gun,White,Houston,TX,not,False,False,"Houston Police Department, TX",2019.0
4016,2019-01-28,58.0,female,unarmed,White,Houston,TX,not,False,False,"Houston Police Department, TX",2019.0
4017,2019-01-28,29.0,male,gun,Hispanic,Jackson,MI,foot,False,False,"Jackson County Sheriff's Department, MI",2019.0
4018,2019-01-29,27.0,male,gun,Hispanic,Austin,TX,car,True,True,"Austin Police Department, TX",2019.0
4019,2019-01-29,51.0,male,vehicle,Asian,Kalihi,HI,car,False,False,"Honolulu Police Department, HI",2019.0
4020,2019-01-30,52.0,male,unknown,White,Midland,TX,not,False,False,"Midland County Sheriff's Office, TX",2019.0
4021,2019-01-30,47.0,male,gun,White,Phoenix,AZ,foot,False,False,"Phoenix Police Department, AZ",2019.0
4022,2019-01-31,24.0,male,gun,Unknown,Passaic,NJ,foot,False,False,"Passaic Police Department, NJ",2019.0
4023,2019-02-01,45.0,male,vehicle,Hispanic,Denver,CO,car,False,False,"Jefferson County Sheriff's Department, CO",2019.0
4024,2019-02-02,40.0,male,knife,Black,Stockton,CA,not,False,False,"Stockton Police Department, CA",2019.0
4025,2019-02-02,68.0,male,gun,Black,Buford,GA,not,False,False,"Gwinnett County Police Department, GA",2019.0
4026,2019-02-02,47.0,male,knife,White,Flagstaff,AZ,not,True,True,"Flagstaff Police Department, AZ",2019.0
4027,2019-02-03,35.0,male,vehicle,Hispanic,Waukegan,IL,car,True,False,"Waukegan Police Department, IL",2019.0
